time,close,high,low,open,volumefrom,volumeto
1546387200,3961.01,3989.59,3826.29,3880.15,54034.73,210854603.84
1546473600,3835.86,3965.52,3778.76,3961.01,45585.19,176488072.06
1546560000,3874.06,3901.65,3783.88,3835.86,44398.9,170507611.15
1546646400,3855.39,3926.92,3841.13,3874.06,35766.65,139438510.18
1546732800,4102.85,4145.16,3829.09,3855.39,58878.99,236298043.75
1546819200,4050.4,4132.62,4001.35,4102.85,51541.23,209289368.14
1546905600,4040.75,4156.16,3990.34,4050.4,65973.5,268091045.44
1546992000,4048.34,4092.91,4013,4040.75,55130.13,223639028.92
1547078400,3668.15,4085.09,3631.07,4048.34,108277.01,412522198.13
1547164800,3669.2,3729.69,3616.41,3668.15,63070.18,231465488.1
1547251200,3664.38,3692.12,3611.2,3669.2,28343.28,103912541.38
1547337600,3551.24,3675.2,3528.24,3664.38,45682.73,164125048.97
1547424000,3703.9,3748.88,3544.53,3551.24,56099.99,204793029.92
1547510400,3621.24,3724.3,3590.49,3703.9,54154.65,198582447.53
1547596800,3643.99,3704.37,3611.38,3621.24,53843.55,196211595.54
1547683200,3685.3,3695.28,3586.92,3643.99,46181.32,168287506.1
1547769600,3648.05,3685.39,3620.44,3685.3,32418.99,118317804.97
1547856000,3729.78,3799.62,3643.01,3648.05,38341.35,143238228.4
1547942400,3567.73,3754.65,3529.25,3729.78,49198.37,177628515.93
1548028800,3571.92,3599.83,3535.19,3567.73,36101.4,129000924.6
1548115200,3602.04,3635.69,3473.77,3571.92,53586.91,191355241.84
1548201600,3572.05,3631.15,3543.96,3602.04,37910.4,135864247.56
1548288000,3598.52,3616.33,3546.5,3572.05,31630.57,113155246.95
1548374400,3582.89,3607.43,3539.41,3598.52,32679.69,116674680.78
1548460800,3596.5,3676.4,3578.62,3582.89,29201.1,105927045.55
1548547200,3565.08,3605.99,3511.29,3596.5,26261.48,93766117.67
1548633600,3453.42,3567.56,3402.56,3565.08,59700.11,206309738.62
1548720000,3418.25,3463.2,3369.19,3453.42,46304.1,158106687
1548806400,3467.21,3488.91,3395.94,3418.25,42399.63,146422486.1
1548892800,3434.13,3499.78,3422.83,3467.21,37365.7,128773893.15
1548979200,3461.63,3478.55,3398.96,3434.13,41976.43,144476056.44
1549065600,3508.68,3519.14,3441.21,3461.63,27103.48,94144187.11
1549152000,3449.62,3514.43,3424.42,3508.68,23044.88,79591219.11
1549238400,3431.24,3470.8,3429.21,3449.62,23959.61,82280894.52
1549324800,3447.66,3447.88,3415.67,3431.24,24459.49,84042727.18
1549411200,3394.89,3459.33,3362.24,3447.66,44281.79,150408587.85
1549497600,3375.33,3406.54,3369.1,3394.89,28811.35,97390901.92
1549584000,3660.03,3735.1,3363.32,3375.33,89444.22,317023029.42
1549670400,3652.26,3673.71,3616.11,3660.03,25880.75,94200588.34
1549756800,3685.14,3689.32,3611.46,3652.26,30046.26,109365095.98
1549843200,3611.34,3688.59,3608.18,3685.14,40461.58,146354074.39
1549929600,3617.41,3648.67,3574.22,3611.34,45717.05,164816438.53
1550016000,3605.87,3655.89,3590.01,3617.41,40664.15,146822348.57
1550102400,3588.72,3619.7,3567.39,3605.87,32779.35,117804856.32
1550188800,3593.49,3640.65,3575.95,3588.72,36251.38,130398989.33
1550275200,3617.24,3639.75,3592.04,3593.49,24003.59,86973822.79
1550361600,3670.92,3706.17,3608.18,3617.24,36849.32,134218331.16
1550448000,3912.57,3952.44,3661.42,3670.92,98728.99,376203280.43
1550534400,3924.24,4010.91,3882.52,3912.57,74127.62,292137057.43
1550620800,3974.05,3992.31,3898.91,3924.24,53048.95,209282292.49
