Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
02-Jan-2019,"1,054.680000",,,"1,027.200000","1,025.275000","1,060.790000","1,593,395","1,667,549,270.298800"
03-Jan-2019,"1,025.470000",-29.210000,-2.769560%,"1,050.670000","1,022.370000","1,066.260000","2,097,957","2,168,133,485.510100"
04-Jan-2019,"1,078.070000",+52.600000,+5.129355%,"1,042.560000","1,036.860000","1,080.000000","2,301,428","2,459,186,678.311300"
07-Jan-2019,"1,075.920000",-2.150000,-0.199430%,"1,080.970000","1,062.640000","1,082.700000","2,372,667","2,548,338,425.235800"
08-Jan-2019,"1,085.370000",+9.450000,+0.878318%,"1,086.000000","1,068.348600","1,093.350000","1,770,654","1,916,087,092.471000"
09-Jan-2019,"1,081.650000",-3.720000,-0.342740%,"1,087.990000","1,074.370000","1,091.640000","1,349,912","1,462,892,310.068900"
10-Jan-2019,"1,078.830000",-2.820000,-0.260713%,"1,074.940000","1,064.680000","1,079.810000","1,329,861","1,428,821,446.319400"
11-Jan-2019,"1,064.470000",-14.360000,-1.331072%,"1,069.900000","1,056.430000","1,073.370000","1,543,238","1,640,946,096.263500"
14-Jan-2019,"1,051.510000",-12.960000,-1.217507%,"1,053.340000","1,048.550000","1,058.450000","1,424,486","1,500,271,501.465800"
15-Jan-2019,"1,086.510000",+35.000000,+3.328547%,"1,058.010000","1,054.440000","1,088.270000","1,875,852","2,024,889,040.980600"
16-Jan-2019,"1,089.510000",+3.000000,+0.276113%,"1,090.000000","1,088.010000","1,102.360000","1,914,041","2,092,905,615.656300"
17-Jan-2019,"1,099.120000",+9.610000,+0.882048%,"1,087.990000","1,083.255000","1,100.700000","1,244,801","1,360,997,178.583500"
18-Jan-2019,"1,107.300000",+8.180000,+0.744232%,"1,108.590000","1,099.283400","1,118.000000","2,244,569","2,487,408,900.405800"
22-Jan-2019,"1,078.630000",-28.670000,-2.589181%,"1,096.000000","1,070.890000","1,098.970000","1,981,594","2,144,666,538.125500"
23-Jan-2019,"1,084.410000",+5.780000,+0.535865%,"1,086.860000","1,067.570000","1,092.950000","1,259,738","1,361,826,076.035500"
24-Jan-2019,"1,084.000000",-0.410000,-0.037809%,"1,082.510000","1,070.020000","1,088.000000","1,455,948","1,572,357,465.959100"
25-Jan-2019,"1,101.510000",+17.510000,+1.615314%,"1,094.230000","1,091.801200","1,103.360000","1,163,788","1,278,950,819.224700"
28-Jan-2019,"1,079.860000",-21.650000,-1.965484%,"1,090.070000","1,074.610000","1,093.365000","1,466,714","1,585,729,293.748000"
29-Jan-2019,"1,070.060000",-9.800000,-0.907525%,"1,081.040000","1,066.020000","1,084.730000","985,248","1,056,884,684.536600"
30-Jan-2019,"1,097.990000",+27.930000,+2.610134%,"1,077.360000","1,076.640000","1,099.520000","1,472,647","1,605,609,550.047500"
31-Jan-2019,"1,125.890000",+27.900000,+2.541007%,"1,112.240000","1,105.250000","1,127.670000","2,011,572","2,255,326,553.335900"
01-Feb-2019,"1,118.620000",-7.270000,-0.645711%,"1,122.290000","1,114.250000","1,134.400000","1,655,813","1,858,873,164.014800"
