Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
02-Jan-2019,135.680000,,,128.990000,128.560000,137.510000,"28,146,193","3,791,251,757.489190"
03-Jan-2019,131.740000,-3.940000,-2.903892%,134.690000,131.120000,137.170000,"22,717,948","3,022,679,996.815990"
04-Jan-2019,137.950000,+6.210000,+4.713830%,134.010000,133.750000,138.000000,"29,002,059","3,967,339,312.932490"
07-Jan-2019,138.050000,+0.100000,+0.072490%,137.560000,135.910000,138.870000,"20,089,337","2,764,855,710.852490"
08-Jan-2019,142.530000,+4.480000,+3.245201%,139.890000,139.540000,143.140000,"26,263,793","3,724,055,148.463090"
09-Jan-2019,144.230000,+1.700000,+1.192731%,142.950000,141.270000,144.700000,"22,205,879","3,188,046,304.576390"
10-Jan-2019,144.200000,-0.030000,-0.020800%,143.080000,140.840000,144.560000,"16,125,004","2,309,297,245.565390"
11-Jan-2019,143.800000,-0.400000,-0.277393%,143.150000,142.570000,145.360000,"12,908,031","1,856,351,180.291290"
14-Jan-2019,145.390000,+1.590000,+1.105702%,142.000000,141.270000,146.570000,"20,520,278","2,963,279,892.272390"
15-Jan-2019,148.950000,+3.560000,+2.448587%,146.010000,145.990000,150.680000,"24,068,822","3,588,871,221.840790"
16-Jan-2019,147.540000,-1.410000,-0.946626%,149.000000,146.997500,149.649900,"18,025,714","2,665,399,601.962390"
17-Jan-2019,148.300000,+0.760000,+0.515115%,146.950000,146.500000,149.000000,"15,787,914","2,336,415,793.802790"
18-Jan-2019,150.040000,+1.740000,+1.173297%,149.750000,148.550000,152.430000,"31,029,612","4,662,961,642.713590"
22-Jan-2019,147.570000,-2.470000,-1.646228%,149.200000,146.370000,151.530000,"22,378,694","3,327,014,540.426590"
23-Jan-2019,144.300000,-3.270000,-2.215898%,148.280000,143.055000,148.800000,"20,098,415","2,912,194,410.399190"
24-Jan-2019,145.830000,+1.530000,+1.060291%,144.640000,142.520000,146.440000,"20,955,518","3,035,708,007.621890"
25-Jan-2019,149.010000,+3.180000,+2.180621%,147.480000,146.540000,149.830000,"22,250,954","3,311,829,282.235990"
28-Jan-2019,147.470000,-1.540000,-1.033488%,148.050000,146.210000,148.960000,"15,508,483","2,284,616,318.376990"
29-Jan-2019,144.190000,-3.280000,-2.224181%,148.090000,143.430000,148.100000,"17,631,953","2,548,390,304.035490"
30-Jan-2019,150.420000,+6.230000,+4.320688%,146.220000,145.695300,150.950000,"44,613,240","6,797,658,318.941590"
31-Jan-2019,166.690000,+16.270000,+10.816381%,165.600000,165.000000,171.680000,"77,233,602","12,994,443,468.221300"
01-Feb-2019,165.710000,-0.980000,-0.587918%,165.840000,165.660000,169.100000,"30,806,513","5,143,921,567.080190"
04-Feb-2019,169.250000,+3.540000,+2.136262%,165.700000,163.620000,169.300000,"20,036,470","3,366,552,824.065990"
05-Feb-2019,171.160000,+1.910000,+1.128508%,169.150000,168.690000,171.980000,"22,556,985","3,851,724,680.454890"
06-Feb-2019,170.490000,-0.670000,-0.391447%,171.200000,169.270000,172.470000,"13,281,161","2,265,417,082.257190"
07-Feb-2019,166.380000,-4.110000,-2.410699%,168.200000,165.250000,169.240000,"17,517,609","2,922,428,139.112290"
08-Feb-2019,167.330000,+0.950000,+0.570982%,164.470000,164.210000,167.370000,"12,561,422","2,084,249,582.086490"
11-Feb-2019,165.790000,-1.540000,-0.920337%,167.900000,165.080000,168.300000,"12,811,176","2,129,332,307.694790"
12-Feb-2019,165.040000,-0.750000,-0.452380%,166.860000,164.500000,168.340000,"16,292,290","2,709,196,687.081990"
13-Feb-2019,164.070000,-0.970000,-0.587736%,165.380000,163.730000,166.220000,"14,205,146","2,344,969,505.584890"
14-Feb-2019,163.950000,-0.120000,-0.073140%,163.190000,162.246800,164.869700,"12,755,151","2,087,659,211.536890"
15-Feb-2019,162.500000,-1.450000,-0.884416%,164.510000,160.860000,164.700000,"15,504,415","2,516,950,110.872790"
19-Feb-2019,162.290000,-0.210000,-0.129231%,160.500000,160.330000,164.150000,"14,345,390","2,333,645,305.504890"
20-Feb-2019,162.560000,+0.270000,+0.166369%,162.250000,161.250000,163.720000,"11,770,692","1,912,792,052.634690"
21-Feb-2019,160.040000,-2.520000,-1.550197%,161.930000,159.590000,162.240000,"15,607,828","2,503,454,504.686990"
22-Feb-2019,161.890000,+1.850000,+1.155961%,160.580000,160.310000,162.410000,"15,858,468","2,562,314,900.589490"
25-Feb-2019,164.620000,+2.730000,+1.686330%,163.070000,162.900000,166.070000,"18,737,106","3,088,622,137.326190"
26-Feb-2019,164.130000,-0.490000,-0.297655%,164.335000,163.800000,166.240000,"13,784,063","2,272,418,177.571390"
27-Feb-2019,162.810000,-1.320000,-0.804241%,162.900000,160.410000,163.930000,"12,697,485","2,060,339,874.232490"
