Exchange Date,Close,Volume,Net,%Chg,Open,Low,High
13-Feb-2020,"1,576.0950",,+10.7683,+0.6879%,"1,565.3214","1,565.1350","1,577.8066"
12-Feb-2020,"1,565.3267",,-2.0933,-0.1336%,"1,567.4301","1,561.1600","1,570.1783"
11-Feb-2020,"1,567.4200",,-4.4800,-0.2850%,"1,571.7100","1,561.8900","1,573.6650"
10-Feb-2020,"1,571.9000",,+1.9942,+0.1270%,"1,569.5400","1,567.6100","1,576.7600"
07-Feb-2020,"1,569.9058",,+3.3457,+0.2136%,"1,566.5800","1,562.0000","1,573.6650"
06-Feb-2020,"1,566.5601",,+10.1551,+0.6525%,"1,556.6000","1,551.9600","1,568.0100"
05-Feb-2020,"1,556.4050",,+4.1450,+0.2670%,"1,552.2700","1,546.9000","1,562.0050"
04-Feb-2020,"1,552.2600",,-23.7900,-1.5095%,"1,576.0100","1,548.7000","1,579.2449"
03-Feb-2020,"1,576.0500",,-13.7649,-0.8658%,"1,589.4500","1,570.8600","1,591.4600"
31-Jan-2020,"1,589.8149",,+15.8949,+1.0099%,"1,573.8800","1,570.4500","1,589.8149"
30-Jan-2020,"1,573.9200",,-2.7975,-0.1774%,"1,576.6851","1,572.2000","1,585.6700"
29-Jan-2020,"1,576.7175",,+10.8575,+0.6934%,"1,565.8100","1,562.7000","1,577.5552"
28-Jan-2020,"1,565.8600",,-15.7900,-0.9983%,"1,581.6600","1,565.2600","1,582.7828"
27-Jan-2020,"1,581.6500",,+11.2850,+0.7186%,"1,579.7000","1,575.3000","1,586.4250"
24-Jan-2020,"1,570.3650",,+7.3400,+0.4696%,"1,563.0000","1,555.8700","1,575.4700"
23-Jan-2020,"1,563.0250",,+4.4050,+0.2826%,"1,558.6300","1,550.9900","1,567.6357"
22-Jan-2020,"1,558.6200",,+0.8900,+0.0571%,"1,557.7300","1,549.5100","1,559.0500"
21-Jan-2020,"1,557.7300",,-3.5500,-0.2274%,"1,560.5600","1,545.9600","1,568.3510"
20-Jan-2020,"1,561.2800",,+5.0553,+0.3248%,"1,558.2600","1,556.0500","1,562.5100"
