Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
02-Jan-2019,"6,360.869",,,"6,198.675","6,198.675","6,394.735","202,726,008"
03-Jan-2019,"6,147.128",-213.741,-3.360%,"6,274.759","6,139.403","6,292.684","286,070,868"
04-Jan-2019,"6,422.674",+275.546,+4.483%,"6,250.054","6,234.587","6,445.195","272,836,810"
07-Jan-2019,"6,488.254",+65.580,+1.021%,"6,434.549","6,412.980","6,521.445","224,764,232"
08-Jan-2019,"6,551.847",+63.593,+0.980%,"6,555.910","6,457.004","6,574.731","219,264,274"
09-Jan-2019,"6,600.694",+48.847,+0.746%,"6,576.540","6,549.439","6,631.062","223,356,034"
10-Jan-2019,"6,620.942",+20.248,+0.307%,"6,551.052","6,517.545","6,625.113","192,687,658"
11-Jan-2019,"6,601.395",-19.547,-0.295%,"6,579.891","6,562.039","6,604.557","173,531,957"
14-Jan-2019,"6,541.038",-60.357,-0.914%,"6,536.369","6,512.640","6,566.869","177,780,617"
15-Jan-2019,"6,669.638",+128.600,+1.966%,"6,571.145","6,567.322","6,674.533","173,904,661"
16-Jan-2019,"6,668.562",-1.076,-0.016%,"6,677.378","6,665.050","6,720.405","175,729,628"
17-Jan-2019,"6,718.453",+49.891,+0.748%,"6,646.188","6,637.096","6,747.283","171,128,225"
18-Jan-2019,"6,784.608",+66.155,+0.985%,"6,771.522","6,727.938","6,816.230","253,242,024"
22-Jan-2019,"6,646.813",-137.795,-2.031%,"6,736.646","6,603.563","6,738.573","246,398,811"
23-Jan-2019,"6,658.763",+11.950,+0.180%,"6,689.077","6,584.496","6,712.864","197,171,111"
24-Jan-2019,"6,702.547",+43.784,+0.658%,"6,680.344","6,656.525","6,710.730","230,486,706"
25-Jan-2019,"6,787.371",+84.824,+1.266%,"6,755.668","6,733.320","6,800.969","246,845,675"
28-Jan-2019,"6,697.087",-90.284,-1.330%,"6,691.840","6,644.307","6,697.532","216,553,935"
29-Jan-2019,"6,632.792",-64.295,-0.960%,"6,695.710","6,613.418","6,701.470","183,311,510"
30-Jan-2019,"6,807.909",+175.117,+2.640%,"6,708.562","6,688.329","6,826.923","246,696,854"
31-Jan-2019,"6,906.839",+98.930,+1.453%,"6,840.927","6,837.916","6,936.344","327,553,633"
01-Feb-2019,"6,875.518",-31.321,-0.453%,"6,872.725","6,857.308","6,921.950","220,672,760"
04-Feb-2019,"6,959.957",+84.439,+1.228%,"6,876.563","6,872.605","6,960.965","177,351,303"
05-Feb-2019,"7,023.521",+63.564,+0.913%,"6,969.371","6,967.939","7,029.766","206,727,644"
06-Feb-2019,"6,997.622",-25.899,-0.369%,"7,023.888","6,969.829","7,034.940","193,599,210"
07-Feb-2019,"6,904.981",-92.641,-1.324%,"6,934.329","6,854.353","6,954.769","204,463,401"
08-Feb-2019,"6,913.130",+8.149,+0.118%,"6,843.329","6,836.698","6,914.562","168,044,368"
11-Feb-2019,"6,909.185",-3.945,-0.057%,"6,941.256","6,893.799","6,958.328","166,328,167"
12-Feb-2019,"7,014.669",+105.484,+1.527%,"6,960.554","6,948.329","7,021.758","188,907,942"
13-Feb-2019,"7,015.876",+1.207,+0.017%,"7,038.316","7,009.733","7,062.577","168,574,335"
14-Feb-2019,"7,022.419",+6.543,+0.093%,"6,986.507","6,969.686","7,047.878","168,003,699"
15-Feb-2019,"7,055.179",+32.760,+0.467%,"7,066.384","7,022.302","7,073.990","202,527,912"
19-Feb-2019,"7,066.612",+11.433,+0.162%,"7,033.374","7,032.778","7,089.101","150,460,006"
20-Feb-2019,"7,062.339",-4.273,-0.060%,"7,070.235","7,027.367","7,096.151","169,850,231"
21-Feb-2019,"7,035.164",-27.175,-0.385%,"7,047.078","7,001.798","7,063.068","158,191,000"
22-Feb-2019,"7,090.625",+55.461,+0.788%,"7,055.200","7,050.010","7,094.290","197,935,565"
25-Feb-2019,"7,115.426",+24.801,+0.350%,"7,144.337","7,111.783","7,161.734","179,059,441"
