Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
02-Jan-2019,310.120000,,,306.100000,298.800000,315.130000,"11,658,648","3,586,586,367.795010"
03-Jan-2019,300.360000,-9.760000,-3.147169%,307.000000,297.380000,309.400000,"6,965,184","2,104,378,268.246010"
04-Jan-2019,317.690000,+17.330000,+5.769743%,306.000000,302.730000,318.000000,"7,394,116","2,306,376,514.236610"
07-Jan-2019,334.960000,+17.270000,+5.436117%,321.720000,317.750800,336.740000,"7,551,225","2,497,743,134.086010"
08-Jan-2019,335.350000,+0.390000,+0.116432%,341.960000,327.020000,344.010000,"7,008,516","2,350,973,314.471310"
09-Jan-2019,338.530000,+3.180000,+0.948263%,335.500000,331.470000,343.502500,"5,432,945","1,842,598,726.369410"
10-Jan-2019,344.970000,+6.440000,+1.902342%,334.400000,331.790000,345.390000,"6,056,354","2,060,403,318.086510"
11-Jan-2019,347.260000,+2.290000,+0.663826%,342.090000,338.770000,348.410000,"5,039,052","1,732,722,821.163610"
14-Jan-2019,334.400000,-12.860000,-3.703277%,342.380000,334.000000,342.500000,"5,247,284","1,774,370,654.270610"
15-Jan-2019,344.430000,+10.030000,+2.999402%,335.000000,334.500000,348.800000,"6,056,590","2,083,660,299.487910"
16-Jan-2019,346.050000,+1.620000,+0.470342%,344.780000,343.500000,352.000000,"4,691,739","1,636,353,498.032710"
17-Jan-2019,347.310000,+1.260000,+0.364109%,346.210000,344.150000,351.500000,"3,676,733","1,278,621,757.277210"
18-Jan-2019,302.260000,-45.050000,-12.971121%,323.000000,299.730100,327.129700,"24,150,763","7,525,182,572.860110"
22-Jan-2019,298.920000,-3.340000,-1.105009%,304.820000,295.500000,308.000000,"12,066,741","3,616,582,012.540310"
23-Jan-2019,287.590000,-11.330000,-3.790312%,292.500000,281.690000,294.500000,"12,529,993","3,608,593,676.369910"
24-Jan-2019,291.510000,+3.920000,+1.363052%,283.030000,279.283100,293.680000,"8,012,155","2,307,302,166.187610"
25-Jan-2019,297.040000,+5.530000,+1.897019%,294.390000,289.550000,298.519500,"7,258,078","2,136,546,227.101510"
28-Jan-2019,296.380000,-0.660000,-0.222192%,292.910000,287.750000,297.460000,"6,423,279","1,885,150,715.052510"
29-Jan-2019,297.460000,+1.080000,+0.364397%,295.270000,291.800000,298.556600,"4,621,692","1,366,218,935.032710"
30-Jan-2019,308.770000,+11.310000,+3.802192%,300.450000,298.490000,309.000000,"11,250,318","3,409,643,442.060910"
31-Jan-2019,307.020000,-1.750000,-0.566765%,301.000000,294.000000,311.563600,"12,569,245","3,831,042,916.227010"
01-Feb-2019,312.210000,+5.190000,+1.690444%,305.420000,303.500000,316.100000,"7,283,441","2,270,459,849.278410"
04-Feb-2019,312.890000,+0.680000,+0.217802%,312.980000,301.880000,315.300000,"7,352,082","2,285,868,297.136610"
05-Feb-2019,321.350000,+8.460000,+2.703826%,312.490000,312.249400,322.440000,"6,742,765","2,153,402,995.373310"
06-Feb-2019,317.220000,-4.130000,-1.285203%,319.590000,315.624000,324.240000,"5,038,546","1,608,883,939.733010"
07-Feb-2019,307.510000,-9.710000,-3.060967%,313.300000,303.000000,314.700000,"6,520,611","2,011,669,044.987610"
08-Feb-2019,305.800000,-1.710000,-0.556079%,306.830000,298.500000,307.445000,"5,844,212","1,770,222,349.571510"
